"Location";"Province_State_country";"Section";"OffPaleolong";"OffPaleolat"
"Oman_Wadi_Maqam_3-5";"Oman";"Wadi_Maqam_3-5";52,0366;-27,0507
"Oman_Wadi_Shuyab";"Oman";"Wadi_Shuyab";52,0338;-27,0383
"Oman_Wadi_Wasit_Sud";"Oman";"Wadi_Wasit_Sud";54,3632;-28,9769
"Oman_Sal";"Oman";"Sal";55,5756;-29,9875
"Turkey_Curuk_dag";"Turkey";"Curuk_dag";29,894;-10,4302
"Turkey_NE_Bursa";"Turkey";"NE_Bursa";36,9369;15,7651
"Oman_Buday_ah";"Oman";"Buday_ah";52,9662;-28,1826
"Oman_Wasit_Block";"Oman";"Wasit_Block";54,3625;-28,9704
"Oman_Jabal_Safra";"Oman";"Jabal_Safra";53,3682;-29,3417
"Oman_Radio_Tower";"Oman";"Radio_Tower";54,3303;-28,9903
"Oman_Wadi_Bani_Khalid";"Oman";"Wadi_Bani_Khalid";55,1336;-29,491
"Oman_Wadi_Musjah";"Oman";"Wadi_Musjah";54,2998;-29,0792
"Oman_Jebel_Aweri";"Oman";"Jebel_Aweri";55,8223;-29,7825
"Iran_Elika";"Iran";"Elika";43,3149;1,9016
"Iran_Ruteh";"Iran";"Ruteh";43,5406;1,7308
"Iran_Koh-e-Chah_Kaland";"Iran";"Koh-e-Chah_Kaland";46,5225;-1,6238
"Iran_Haftad_Gholleh";"Iran";"Haftad_Gholleh";43,7723;-0,1084
"Iran_Abadeh";"Iran";"Abadeh";47,4369;-1,813
"Iran_Abadeh_A-C-H";"Iran";"Abadeh_A-C-H";47,4387;-1,8185
"Iran_Kuh-e-Hambast";"Iran";"Kuh-e-Hambast";47,266;-1,8513
"Iran_Mangol";"Iran";"Mangol";43,9036;2,3667
"Iran_Emarat";"Iran";"Emarat";43,9228;2,3241
"Iran_Kuh-e-Ali_Bashi-2";"Iran";"Kuh-e-Ali_Bashi-2";37,9258;1,9133
"Iran_Kuh-e-Ali_Bashi-1";"Iran";"Kuh-e-Ali_Bashi-1";37,9278;1,9133
"Iran_PHV";"Iran";"PHV";47,465;-1,8114
"Iran_Shareeza";"Iran";"Shareeza";45,8642;-1,3713
"Iran_Zal";"Iran";"Zal";38,0844;1,7593
"Iran_Baghuk";"Iran";"Baghuk";46,5171;-1,6042
"Iran_Aras_Valley";"Iran";"Aras_Valley";37,833;1,9487
"Kazakhstan_Dolnapa";"Kazakhstan";"Dolnapa";50,2676;25,6452
"Azerbaijan_Dorasham_II-3";"Azerbaijan";"Dorasham_II-3";37,8852;1,9592
"Tajikistan_SE_Pamirs";"Tajikistan";"SE_Pamirs";65,9468;37,3066
"China_Selong_Xishan";"China";"Selong_Xishan";64,1737;-51,5931
"China_Wenbudangsang";"China";"Wenbudangsang";62,7747;-11,957
"China_Gyirong";"China";"Gyirong";63,6169;-51,2404
"China_Tulong";"China";"Tulong";64,32;-51,9355
"China_Dzaghar";"China";"Dzaghar";65,4025;-52,5068
"China_Qubu";"China";"Qubu";64,8878;-52,4194
"China_Zanda";"China";"Zanda";61,4857;-47,5618
"China_Longgar";"China";"Longgar";63,7131;-13,311
"China_Shemari";"China";"Shemari";69,5405;-12,4509
"Pakistan_Wirokhun";"Pakistan";"Wirokhun";57,7849;-5,0435
"Pakistan_Kundil_II";"Pakistan";"Kundil_II";57,7743;-5,0355
"Pakistan_Sakirmul";"Pakistan";"Sakirmul";56,3348;-5,0144
"Pakistan_Torman_Gol";"Pakistan";"Torman_Gol";62,5286;-7,8123
"Pakistan_Kingriali";"Pakistan";"Kingriali";55,7192;-39,6848
"Pakistan_Landa";"Pakistan";"Landa";56,642;-39,3475
"Pakistan_Wargal";"Pakistan";"Wargal";56,6761;-40,1822
"Pakistan_Kathwai-I";"Pakistan";"Kathwai-I";56,8182;-40,2537
"Pakistan_Kathwai-II";"Pakistan";"Kathwai-II";56,8726;-40,2513
"Pakistan_Nammal";"Pakistan";"Nammal";56,707;-39,987
"Pakistan_Kuch-III";"Pakistan";"Kuch-III";56,8949;-39,5176
"Pakistan_Zaluch_Nala";"Pakistan";"Zaluch_Nala";56,7556;-39,8678
"Pakistan_Zaluch";"Pakistan";"Zaluch";56,7555;-39,8699
"Pakistan_Chhidru-B";"Pakistan";"Chhidru-B";56,5772;-40,0423
"Pakistan_Chhidru-A";"Pakistan";"Chhidru-A";56,5716;-40,0401
"Pakistan_Narmia";"Pakistan";"Narmia";56,6624;-39,3866
"Nepal_Thakkhola_1";"Nepal";"Thakkhola_1";62,6974;-50,6953
"Nepal_Thinigaun";"Nepal";"Thinigaun";62,1399;-50,2562
"Nepal_Tilicho";"Nepal";"Tilicho";62,1971;-50,3696
"Nepal_Col_noir";"Nepal";"Col_noir";62,2479;-50,4304
"Nepal_Manang";"Nepal";"Manang";62,3257;-50,5011
"Nepal_Braga";"Nepal";"Braga";62,3367;-50,5273
"Nepal_Thakkhola_2";"Nepal";"Thakkhola_2";62,1664;-50,2881
"Nepal_Tarap";"Nepal";"Tarap";62,0025;-49,6363
"Nepal_Atali_alta";"Nepal";"Atali_alta";61,9749;-49,6046
"Nepal_Atali_campo";"Nepal";"Atali_campo";61,9986;-49,6035
"Timor_leste_Manatuto_loc5";"Timor_leste";"Manatuto_loc5";90;-35
"Timor_leste_Manatuto_loc6";"Timor_leste";"Manatuto_loc6";90;-35
"Malaysia_Gua_Bama_sectionA";"Malaysia";"Gua_Bama_sectionA";102,859;-16,0481
"Malaysia_Gua_Bama_sectionB";"Malaysia";"Gua_Bama_sectionB";102,8586;-16,0482
"Malaysia_Gua_Panjang";"Malaysia";"Gua_Panjang";102,7168;-15,9743
"Malaysia_Gua_Sei_SectionA";"Malaysia";"Gua_Sei_SectionA";102,8488;-16,0273
"Malaysia_Gua_Sei_SectionB";"Malaysia";"Gua_Sei_SectionB";102,8486;-16,0279
"Malaysia_Gua_Sei_SectionC";"Malaysia";"Gua_Sei_SectionC";102,8483;-16,0279
"Malaysia_Gua_Sei_SectionD";"Malaysia";"Gua_Sei_SectionD";102,8498;-16,0276
"Malaysia_Gua_Sei_SectionE";"Malaysia";"Gua_Sei_SectionE";102,8495;-16,0271
"Malaysia_Gua_Musang";"Malaysia";"Gua_Musang";101,6351;-16,2086
"Malaysia_Cheroh";"Malaysia";"Cheroh";103,0998;-16,2759
"Malaysia_Gunong_Keriang";"Malaysia";"Gunong_Keriang";100,2423;-17,1001
"Malaysia_Bukit_Hantu";"Malaysia";"Bukit_Hantu";100,2;-17,0073
"Thailand_Phrao";"Thailand";"Phrao";87,1504;-13,835
"Vietnam_Bac_Thuy_KC02";"Vietnam";"Bac_Thuy_KC02";99,9807;4,6045
"Vietnam_Lang_Son_loc-1";"Vietnam";"Lang_Son_loc-1";99,98;4,6104
"Vietnam_Lung_Cam";"Vietnam";"Lung_Cam";98,0317;4,9662
"Vietnam_An_Chau_BT01";"Vietnam";"An_Chau_BT01";100,0036;4,4629
"Vietnam_An_Chau_BT02";"Vietnam";"An_Chau_BT02";100,0037;4,4634
"Vietnam_An_Chau_BT03";"Vietnam";"An_Chau_BT03";100,0014;4,4715
"Vietnam_An_Chau_KC01";"Vietnam";"An_Chau_KC01";99,9838;4,6056
"Vietnam_An_Chau_KC02";"Vietnam";"An_Chau_KC02";99,9835;4,6055
"Vietnam_An_Chau_NT01";"Vietnam";"An_Chau_NT01";99,9758;4,6156
"Vietnam_An_Chau_PK01";"Vietnam";"An_Chau_PK01";100,01;4,5142
"Vietnam_An_Chau_BR01";"Vietnam";"An_Chau_BR01";100,0305;4,5096
"Vietnam_Son_La";"Vietnam";"Son_La";95,4949;1,1248
"Vietnam_Bac_Thuy";"Vietnam";"Bac_Thuy";100,0058;4,4781
"Russia_Zyryanka";"Russia";"Zyryanka";-4,8181;75,1265
"Russia_Sovkhoznaya";"Russia";"Sovkhoznaya";44,9607;21,9064
"Russia_Vostochnaya";"Russia";"Vostochnaya";45,0277;21,9955
"Russia_Zaterechnaya";"Russia";"Zaterechnaya";45,1121;22,1137
"Russia_Tri_Kamnya_Cape";"Russia";"Tri_Kamnya_Cape";111,7093;35,5626
"Russia_SMID";"Russia";"SMID";111,921;35,746
"Russia_Abrek_Bay";"Russia";"Abrek_Bay";112,0379;35,323
"Russia_Dalnegorsk";"Russia";"Dalnegorsk";115,2635;36,3864
"Russia_Kamenushka";"Russia";"Kamenushka";112,0587;36,0216
"Russia_Artemovka";"Russia";"Artemovka";112,3046;35,9019
"Russia_Golyi_Cape";"Russia";"Golyi_Cape";111,9156;35,3315
"Russia_Ayax";"Russia";"Ayax";111,6024;35,5163
"Russia_Tchernyschew_Bay";"Russia";"Tchernyschew_Bay";111,574;35,4453
"Russia_Kotelny";"Russia";"Kotelny";5,615;65,2865
"Russia_Verkhoyansk";"Russia";"Verkhoyansk";23,4671;66,0276
"Russia_Nuucha-Urege";"Russia";"Nuucha-Urege";22,5769;63,31
"Russia_Istannach";"Russia";"Istannach";21,8788;64,2575
"Russia_Taiion-Uiiolach";"Russia";"Taiion-Uiiolach";23,3663;64,3541
"Russia_Nyykabyt";"Russia";"Nyykabyt";23,1299;64,5415
"Japan_Taho_W01";"Japan";"Taho_W01";145;0
"Japan_Tahokamigumi_2";"Japan";"Tahokamigumi_2";145;0
"Japan_Taho_E01";"Japan";"Taho_E01";145;0
"Japan_Taho_E02";"Japan";"Taho_E02";145;0
"Japan_Taho_E03";"Japan";"Taho_E03";145;0
"Japan_Taho_C02";"Japan";"Taho_C02";145;0
"Japan_Oritate";"Japan";"Oritate";145;0
"Japan_Kamura1";"Japan";"Kamura1";145;0
"Japan_Enoura";"Japan";"Enoura";145;0
"Japan_Ajiro_Island";"Japan";"Ajiro_Island";145;0
"Japan_Kurusu";"Japan";"Kurusu";145;0
"Japan_Gujo-Hachiman";"Japan";"Gujo-Hachiman";145;0
"Japan_Ryozen";"Japan";"Ryozen";145;0
"Japan_Mino_NF195";"Japan";"Mino_NF195";145;0
"Japan_Mino_NF1212R";"Japan";"Mino_NF1212R";145;0
"Japan_Akkamori-2";"Japan";"Akkamori-2";145;0
"Japan_Ubara";"Japan";"Ubara";145;0
"Japan_Hozukyo";"Japan";"Hozukyo";145;0
"Japan_Ashitani";"Japan";"Ashitani";145;0
"Japan_Ryugadake";"Japan";"Ryugadake";145;0
"Japan_Tahokamigumi_1";"Japan";"Tahokamigumi_1";145;0
"Japan_Kamura2";"Japan";"Kamura2";145;0
"Japan_Kii";"Japan";"Kii";145;0
"Japan_Kaizawa";"Japan";"Kaizawa";145;0
"Japan_Ogama";"Japan";"Ogama";145;0
"Japan_Tenjinmaru";"Japan";"Tenjinmaru";145;0
"India_Khreuh";"India";"Khreuh";60,3289;-41,2858
"India_Mandakpal";"India";"Mandakpal";60,3274;-41,3231
"India_Lam";"India";"Lam";60,4174;-41,3381
"India_Guryul_Ravine1";"India";"Guryul_Ravine1";60,2941;-41,1719
"India_Guryul_Ravine2";"India";"Guryul_Ravine2";60,3027;-41,1739
"India_Guryul_Ravine3";"India";"Guryul_Ravine3";60,2995;-41,1721
"India_Mud";"India";"Mud";60,4586;-44,5118
"India_Mud_M04";"India";"Mud_M04";60,4586;-44,5118
"India_Muth_M03";"India";"Muth_M03";60,5038;-44,5574
"India_Guling";"India";"Guling";60,6244;-44,5315
"India_Lingti";"India";"Lingti";60,7348;-44,499
"India_Losar";"India";"Losar";60,7301;-44,0161
"India_Gechang";"India";"Gechang";60,567;-44,4347
"India_Lalung";"India";"Lalung";60,7462;-44,5012
"India_Khar";"India";"Khar";60,5985;-44,5372
"China_Yiwagou";"China";"Yiwagou";82,8151;23,9685
"China_Pojue";"China";"Pojue";98,539;5,505
"China_Dala";"China";"Dala";98,7342;5,2453
"China_Ganxi";"China";"Ganxi";97,1203;12,7612
"China_Jianshi";"China";"Jianshi";97,0256;13,202
"China_Jianzishan";"China";"Jianzishan";96,7808;12,5709
"China_Chibi";"China";"Chibi";100,557;14,8204
"China_Zhijin";"China";"Zhijin";96,5856;8,008
"China_Mingtang";"China";"Mingtang";97,7369;7,6558
"China_Changtanhe";"China";"Changtanhe";98,6841;13,0688
"China_Gaohua";"China";"Gaohua";98,7609;13,0727
"China_Daijiagou";"China";"Daijiagou";95,3186;10,723
"China_Bianyang";"China";"Bianyang";97,7112;7,6672
"China_Wan_Tuo";"China";"Wan_Tuo";98,3523;6,8991
"China_Wuzhuan";"China";"Wuzhuan";98,9867;6,9877
"China_Guandao";"China";"Guandao";97,7409;7,6501
"China_Zhongliangshan";"China";"Zhongliangshan";95,3358;10,6819
"China_Meishan-A";"China";"Meishan-A";103,7261;18,9633
"China_Meishan-quarry_Zhongxin-Dadui";"China";"Meishan-quarry_Zhongxin-Dadui";103,7315;18,9639
"China_Meishan-D";"China";"Meishan-D";103,7265;18,9673
"China_Zhongzhai";"China";"Zhongzhai";96,4241;7,4001
"China_Xinmin";"China";"Xinmin";96,741;7,9116
"China_Dajiang";"China";"Dajiang";97,7782;7,6007
"China_Panlongdong";"China";"Panlongdong";95,4287;13,5731
"China_Jiarong";"China";"Jiarong";97,7264;8,1198
"China_Daxiakou";"China";"Daxiakou";97,4742;14,2537
"China_Yangou_2";"China";"Yangou_2";103,3251;16,2161
"China_Yangou_1";"China";"Yangou_1";103,3365;16,1991
"China_Gaimao";"China";"Gaimao";97,1737;8,3724
"China_Liangfengya";"China";"Liangfengya";95,29;10,7116
"China_Qingyan";"China";"Qingyan";97,3642;8,2678
"China_Pingdingshan";"China";"Pingdingshan";102,0505;18,3964
"China_Longtan";"China";"Longtan";102,5487;19,4477
"China_Quingshan";"China";"Quingshan";102,8016;19,5206
"China_Majiashan";"China";"Majiashan";102,0514;18,3734
"China_Shangsi";"China";"Shangsi";92,8324;12,0614
"China_Dawen";"China";"Dawen";97,9255;7,7173
"China_Huangzhishan";"China";"Huangzhishan";104,0318;18,9997
"China_Dongpan";"China";"Dongpan";100,471;5,4625
"China_Langpai";"China";"Langpai";97,9284;7,6479
"China_Bozhou";"China";"Bozhou";96,7344;9,2578
"China_Chaotian";"China";"Chaotian";93,0965;12,9907
"China_Xiakou";"China";"Xiakou";98,1791;14,771
"China_Dongwan";"China";"Dongwan";95,0755;11,81
"China_Xifanli";"China";"Xifanli";100,9521;15,3817
