"Location";"Province_State_country";"Section";"OffPaleolong";"OffPaleolat"
"China_Taiping";"China";"Taiping";99,6278;6,3811
"China_Motlianling";"China";"Motlianling";99,2891;6,0347
"China_Lilong";"China";"Lilong";98,0711;7,0219
"China_Youping_cascade";"China";"Youping_cascade";98,058;7,028
"China_Shanggang";"China";"Shanggang";98,1326;6,9436
"China_Laren";"China";"Laren";98,5029;6,9498
"China_Qiakong";"China";"Qiakong";98,0998;8,197
"China_Xikou";"China";"Xikou";95,169;15,2199
"Australia_Senecio-1";"Australia";"Senecio-1";83,368;-53,2269
"Australia_Corybas-1";"Australia";"Corybas-1";83,3538;-53,1757
"Australia_Cunaloo-1";"Australia";"Cunaloo-1";88,5297;-46,7984
"Australia_Fortescue_no1";"Australia";"Fortescue_no1";90,332;-46,2993
"Australia_Hope_Island";"Australia";"Hope_Island";87,9263;-46,7531
"Australia_Onslow-1";"Australia";"Onslow-1";88,6614;-46,5665
"New-Zealand_WHK1";"New-Zealand";"WHK1";161,8635;-71,6116
"New-Zealand_ARH-ARJ";"New-Zealand";"ARH-ARJ";159,5871;-69,728
"New-Zealand_ARB";"New-Zealand";"ARB";159,5865;-69,7284
"New-Zealand_ARD-ARE";"New-Zealand";"ARD-ARE";159,5866;-69,7286
"New-Zealand_ARF";"New-Zealand";"ARF";159,5861;-69,7289
"New-Zealand_ARG";"New-Zealand";"ARG";159,5867;-69,7287
"New-Zealand_Kaka_point";"New-Zealand";"Kaka_point";170,1118;-75,8602
"Italy_Bulla";"Italy";"Bulla";25,2941;5,573
"Italy_Tesero";"Italy";"Tesero";25,0421;5,4263
"Italy_Ansiei";"Italy";"Ansiei";25,6912;5,1624
"Italy_Casera_Federata";"Italy";"Casera_Federata";25,7302;5,0692
"Italy_Agordo";"Italy";"Agordo";25,3031;5,1892
"Italy_Col_di_Rioda";"Italy";"Col_di_Rioda";25,7438;5,0605
"Italy_Strigno";"Italy";"Strigno";24,9014;5,256
"Italy_Vigo_di_Fassa3";"Italy";"Vigo_di_Fassa3";25,2583;5,4693
"Italy_Vigo_di_Fassa2";"Italy";"Vigo_di_Fassa2";25,2416;5,4291
"Italy_Vigo_di_Fassa1";"Italy";"Vigo_di_Fassa1";25,2011;5,468
"Italy_Capelluzzo";"Italy";"Capelluzzo";23,6158;-0,9427
"Italy_Aronzo_Pelos";"Italy";"Aronzo_Pelos";25,6703;5,1406
"Italy_Cencenighe";"Italy";"Cencenighe";25,3218;5,266
"Italy_Verla";"Italy";"Verla";24,7729;5,4936
"Italy_Sotto";"Italy";"Sotto";25,4231;5,1683
"Italy_Pietra_di_Saracini";"Italy";"Pietra_di_Saracini";20,399;-1,9691
"Italy_San_Calogero";"Italy";"San_Calogero";20,4003;-1,9743
"Austria_Gartnerkofel";"Austria";"Gartnerkofel";26,1625;4,8199
"Austria_Reppwand";"Austria";"Reppwand";26,1625;4,8199
"Slovenia_Skopacnik";"Slovenia";"Skopacnik";26,4104;3,7733
"Slovenia_Mokrice";"Slovenia";"Mokrice";26,96;3,2242
"Slovenia_Masore1";"Slovenia";"Masore1";26,1971;4,1319
"Slovenia_Masore2";"Slovenia";"Masore2";26,1941;4,1311
"Slovenia_Lukac";"Slovenia";"Lukac";26,2333;4,0925
"Slovenia_Ziri_Sortinica";"Slovenia";"Ziri_Sortinica";26,2346;4,0601
"Slovenia_Ziri_Vrznik";"Slovenia";"Ziri_Vrznik";26,2375;4,0529
"Slovenia_Ziri_road_cut";"Slovenia";"Ziri_road_cut";26,2294;4,0609
"Slovenia_Krkoc";"Slovenia";"Krkoc";26,2098;4,1094
"Slovenia_Golob";"Slovenia";"Golob";26,2074;4,114
"Slovenia_Studorski_preval";"Slovenia";"Studorski_preval";26,3247;4,3961
"Slovenia_Trzic";"Slovenia";"Trzic";26,5672;4,2123
"Slovenia_Zelin_Vrlejca";"Slovenia";"Zelin_Vrlejca";26,1977;4,1749
"Slovenia_Tehovec";"Slovenia";"Tehovec";26,4265;3,9963
"Croatia_Plavno";"Croatia";"Plavno";26,1549;1,6736
"Bosnia_Herzegovina_Bosansko_Grahovo";"Bosnia_Herzegovina";"Bosansko_Grahovo";26,2588;1,6417
"Bosnia_Herzegovina_Teocak";"Bosnia_Herzegovina";"Teocak";29,831;-2,1759
"Croatia_Zelovo";"Croatia";"Zelovo";26,1283;1,1946
"Bosnia_Herzegovina_Bravnice";"Bosnia_Herzegovina";"Bravnice";26,8296;1,306
"Croatia_Skolski_Brijeg";"Croatia";"Skolski_Brijeg";26,1202;3,2959
"Croatia_Zelin_Crnoluski";"Croatia";"Zelin_Crnoluski";26,1425;3,3022
"Serbia_Sitaricka_Glavica";"Serbia";"Sitaricka_Glavica";29,9822;-2,7698
"Serbia_Krivi_potok";"Serbia";"Krivi_potok";29,8575;-2,3888
"Serbia_Komiric";"Serbia";"Komiric";29,9972;-2,5458
"Greece_Chios_A-C";"Greece";"Chios_A-C";35,9762;12,9129
"Greece_Chios";"Greece";"Chios";35,9825;12,9118
"Greece_Adami";"Greece";"Adami";26,5176;-6,7039
"Greece_Marathovouno";"Greece";"Marathovouno";35,9816;12,9009
"Bulgaria_Ajvadzikdere";"Bulgaria";"Ajvadzikdere";40;15
"Romania_Desli_Caira";"Romania";"Desli_Caira";35,287;16,3464
"Romania_Dealul_Pietros1";"Romania";"Dealul_Pietros1";35,3809;16,3288
"Hungary_Balvani_North";"Hungary";"Balvani_North";32,8392;-0,1264
"Hungary_Balvani_East";"Hungary";"Balvani_East";32,8399;-0,1264
"Hungary_Gerennavar";"Hungary";"Gerennavar";32,8066;-0,112
"Norway_Svalis_Dome";"Norway";"Svalis_Dome";15,7716;38,8833
"Norway_Botneheia";"Norway";"Botneheia";10,2686;42,2493
"Norway_Lusitaniadalen";"Norway";"Lusitaniadalen";10,4201;42,2353
"Norway_Skorkapp";"Norway";"Skorkapp";11,1311;40,9137
"Norway_Van_Keulenfjorden_1";"Norway";"Van_Keulenfjorden_1";10,408;41,3909
"Norway_Van_Keulenfjorden_2";"Norway";"Van_Keulenfjorden_2";10,4499;41,4373
"Norway_Van_Keulenfjorden_3";"Norway";"Van_Keulenfjorden_3";10,4548;41,4317
"Mexico_El_Antimonio";"Mexico";"El_Antimonio";-41,3348;3,3198
"Mexico_El_Marmol";"Mexico";"El_Marmol";-44,0612;5,439
"USA_Prida";"USA";"Prida";-41,933;12,9205
"USA_Fossil_Hill";"USA";"Fossil_Hill";-42,0156;12,0081
"USA_John_Brown_Canyon";"USA";"John_Brown_Canyon";-42,0177;12,3106
"USA_Lower_Boone_Spring";"USA";"Lower_Boone_Spring";-40,9247;13,1641
"USA_Long_Canyon_A";"USA";"Long_Canyon_A";-40,0944;13,8573
"USA_Long_Canyon_B";"USA";"Long_Canyon_B";-40,0943;13,8572
"USA_Cedar";"USA";"Cedar";-41,1164;10,0201
"USA_Weber_River";"USA";"Weber_River";-38,8506;12,8706
"USA_Terrace1";"USA";"Terrace1";-39,5446;13,5024
"USA_Terrace2";"USA";"Terrace2";-39,5604;13,4854
"USA_Terrace3";"USA";"Terrace3";-39,5458;13,5091
"USA_Terrace4";"USA";"Terrace4";-39,5729;13,483
"USA_Wasatch_Mountains";"USA";"Wasatch_Mountains";-38,7718;12,3616
"USA_Meadow_Creek";"USA";"Meadow_Creek";-39,822;14,0674
"USA_Union_Wash";"USA";"Union_Wash";-43,6723;8,8234
"USA_Darwin";"USA";"Darwin";-43,5534;8,2708
"USA_Bear_Lake";"USA";"Bear_Lake";-37,7882;13,7554
"USA_Sublett_Reservoir";"USA";"Sublett_Reservoir";-38,9651;14,1732
"USA_South_Chapin_Mountain";"USA";"South_Chapin_Mountain";-38,9932;14,323
"USA_Carlson_Canyon";"USA";"Carlson_Canyon";-39,8428;14,275
"USA_Albion_Range_Declo";"USA";"Albion_Range_Declo";-39,2723;14,5314
"USA_Bear_Lake_Hot_Spring";"USA";"Bear_Lake_Hot_Spring";-37,841;13,3768
"USA_Garfield_Canyon";"USA";"Garfield_Canyon";-37,6466;16,464
"USA_Wheetip_Creek";"USA";"Wheetip_Creek";-37,9225;16,2437
"USA_Montpelier_Canyon";"USA";"Montpelier_Canyon";-37,7743;13,5588
"USA_Big_Sheep";"USA";"Big_Sheep";-36,8784;14,4936
"USA_Chulitna";"USA";"Chulitna";-65,4546;11,1797
"Greenland_Oksedal";"Greenland";"Oksedal";12,2124;29,4375
"Greenland_Schuchert_Dal";"Greenland";"Schuchert_Dal";12,2013;29,003
"Canada_Toad_River";"Canada";"Toad_River";-31,8027;31,705
"Canada_Chowade_River";"Canada";"Chowade_River";-33,0329;29,1429
"Canada_Talisman_Altares";"Canada";"Talisman_Altares";-32,722;28,2566
"Canada_Shell_Groundbirch";"Canada";"Shell_Groundbirch";-32,6567;27,7564
"Canada_Talisman_Groundbirch";"Canada";"Talisman_Groundbirch";-32,7356;27,7449
"Canada_Core_C-65-F_94-B-8";"Canada";"Core_C-65-F_94-B-8";-32,8204;28,34
"Canada_Jesmond";"Canada";"Jesmond";-48,2066;18,5442
"Canada_Prcupine_Creek";"Canada";"Prcupine_Creek";-48,138;18,3969
"Canada_Pavilion_Mountain3";"Canada";"Pavilion_Mountain3";-48,0641;18,251
"Canada_Marble_Canyon";"Canada";"Marble_Canyon";-48,0699;18,0948
"Canada_Jesmond-4";"Canada";"Jesmond-4";-48,1727;18,5977
"Canada_Jesmond_Unknown";"Canada";"Jesmond_Unknown";-48,1748;18,5885
"Canada_Cornwall_Hills";"Canada";"Cornwall_Hills";-47,9488;17,9583
"Canada_Kelly_Lake";"Canada";"Kelly_Lake";-49,867;23,3315
"Canada_Kloch_Lake";"Canada";"Kloch_Lake";-49,6194;22,5819
"Canada_Necoslie";"Canada";"Necoslie";-49,1887;21,859
"Canada_Takatoot_Lake";"Canada";"Takatoot_Lake";-49,6616;22,6534
"Canada_Ogden_Creek";"Canada";"Ogden_Creek";-49,2059;21,8995
"Canada_Stikinia";"Canada";"Stikinia";-53,0732;25,4947
"Canada_Ganoid_Ridge_A";"Canada";"Ganoid_Ridge_A";-36,5776;27,7818
"Canada_Ganoid_Ridge_F";"Canada";"Ganoid_Ridge_F";-36,5761;27,791
"Canada_Ganoid_Ridge_C";"Canada";"Ganoid_Ridge_C";-36,574;27,7863
"Canada_Ganoid_Ridge_E";"Canada";"Ganoid_Ridge_E";-36,5604;27,7442
"Canada_Ganoid_Ridge_D";"Canada";"Ganoid_Ridge_D";-36,5771;27,7685
"Canada_Intanis";"Canada";"Intanis";-36,6393;27,5042
"Canada_Mokasis_Mountain";"Canada";"Mokasis_Mountain";-36,5835;27,4475
"Canada_Meosin_Mountain";"Canada";"Meosin_Mountain";-36,5284;27,4457
"Canada_Ochak";"Canada";"Ochak";-36,5816;27,5558
"Canada_Ganoid_Ridge_North_D";"Canada";"Ganoid_Ridge_North_D";-36,5769;27,7783
"Canada_Progress_Hz_Caribou";"Canada";"Progress_Hz_Caribou";-32,2565;29,4382
"Canada_Progress_HZ_Laprise";"Canada";"Progress_HZ_Laprise";-32,0595;29,1362
"Canada_Mount_Becker";"Canada";"Mount_Becker";-36,5239;27,7532
"Canada_Location4";"Canada";"Location4";-32,0638;28,1808
"Canada_Location5";"Canada";"Location5";-31,4377;26,373
"Canada_Location6";"Canada";"Location6";-31,6484;26,1193
"Canada_Opal_Creek";"Canada";"Opal_Creek";-35,9674;22,5438
"Canada_7-9-69-1W6M";"Canada";"7-9-69-1W6M";-31,5528;26,2024
"Canada_12-3-68-24W5M";"Canada";"12-3-68-24W5M";-31,4179;25,9943
"Canada_6-36-68-21W5M";"Canada";"6-36-68-21W5M";-31,1672;25,8845
"Canada_3-30-67-26W5M";"Canada";"3-30-67-26W5M";-31,5575;26,0733
"Canada_10-4-67-23W5M";"Canada";"10-4-67-23W5M";-31,3802;25,9031
"Canada_7-32-66-23W5M";"Canada";"7-32-66-23W5M";-31,4234;25,8937
"Canada_11-34-65-22W5M";"Canada";"11-34-65-22W5M";-31,3838;25,8053
"Canada_12-34-81-1W6";"Canada";"12-34-81-1W6";-30,8634;26,9173
"Canada_6-3-76-12W6";"Canada";"6-3-76-12W6";-32,1721;27,43
"Canada_7-29-72-8W6";"Canada";"7-29-72-8W6";-32,0371;26,5583
"Canada_6-20-74-7W6";"Canada";"6-20-74-7W6";-31,8202;26,5506
"Canada_8-28-74-7W6";"Canada";"8-28-74-7W6";-31,8388;26,6452
"Canada_14-25-74-7W6";"Canada";"14-25-74-7W6";-31,7918;26,6433
"Canada_4-8-74-5W6";"Canada";"4-8-74-5W6";-31,9585;26,3681
"Canada_15-34-77-1W6";"Canada";"15-34-77-1W6";-31,1194;26,6753
"Canada_6-19-78-25W5";"Canada";"6-19-78-25W5";-31,0651;26,6776
"Canada_4-15-76-2W6";"Canada";"4-15-76-2W6";-31,3001;26,6396
"Canada_6-9-75-8W6";"Canada";"6-9-75-8W6";-31,8764;26,7733
"Canada_11-18-75-7W6";"Canada";"11-18-75-7W6";-31,778;26,7562
"Canada_16-27-76-11W6";"Canada";"16-27-76-11W6";-32,025;27,4319
"Canada_1-30-85-23W5";"Canada";"1-30-85-23W5";-30,5466;26,99
"Canada_12-24-74-11W6";"Canada";"12-24-74-11W6";-32,0664;26,8747
"Canada_Mackenzie";"Canada";"Mackenzie";-32,4752;24,12
"Canada_Lindstroem_Creek";"Canada";"Lindstroem_Creek";-1,4572;41,1522
"Canada_Spath_Creek2";"Canada";"Spath_Creek2";-1,6204;41,0571
"Canada_Spath_Creek1";"Canada";"Spath_Creek1";-1,6084;41,0247
"Canada_Diener_Creek";"Canada";"Diener_Creek";-1,4863;41,0185
"Canada_Sverdrup";"Canada";"Sverdrup";-2,8436;38,7825
"Canada_Smith_Creek";"Canada";"Smith_Creek";-1,5239;40,7699
"Canada_Otto_Fiord";"Canada";"Otto_Fiord";-0,7421;40,8218
"Canada_West_Blind_Fiord";"Canada";"West_Blind_Fiord";-3,3303;38,658
"Canada_Jones_Lake";"Canada";"Jones_Lake";-34,0416;37,0245
"Canada_Jones_Lake_20b";"Canada";"Jones_Lake_20b";-34,0614;37,0243
